interval_begin;interval_end;interval_id;edge_arrived;edge_density;edge_departed;edge_entered;edge_id;edge_laneChangedFrom;edge_laneChangedTo;edge_laneDensity;edge_left;edge_occupancy;edge_overlapTraveltime;edge_sampledSeconds;edge_speed;edge_timeLoss;edge_traveltime;edge_waitingTime
0.00;3600.00;measure_1;0;;0;0;518108068;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;52110713#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;52110713#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;52110715;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;1;0.81;0;29;52110716#0;0;0;0.81;28;0.36;5.26;152.40;10.88;29.65;4.83;0.00
0.00;3600.00;measure_1;4;1.67;0;28;52110716#1;0;0;1.67;24;0.71;6.73;187.99;5.38;91.37;5.20;0.00
0.00;3600.00;measure_1;0;;0;0;52110717#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;52110717#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;52110718;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;52855136;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;4.71;0;28;52856170#0;0;0;1.57;28;0.65;7.04;197.17;2.36;159.80;6.27;116.00
0.00;3600.00;measure_1;0;24.02;0;538;52856856#1;98;98;12.01;535;5.80;16.08;8635.35;6.52;4411.81;15.37;2308.00
0.00;3600.00;measure_1;1;0.06;0;1;529804292;0;0;0.06;0;0.02;1.29;1.29;8.89;0.56;0.76;0.00
0.00;3600.00;measure_1;0;;0;0;529804294;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;6;1.91;0;173;5353717;0;0;1.91;156;0.95;39.15;6567.71;24.51;613.38;38.94;0.00
0.00;3600.00;measure_1;0;0.90;0;65;5353721;0;0;0.90;63;0.45;52.66;3340.82;19.67;366.74;52.41;0.00
0.00;3600.00;measure_1;0;1.05;0;47;5353722#0;0;0;1.05;46;0.48;6.20;288.54;13.18;110.56;5.92;0.00
0.00;3600.00;measure_1;0;0.74;0;45;5353722#2;0;0;0.74;45;0.32;1.75;78.59;19.80;4.28;1.48;0.00
0.00;3600.00;measure_1;0;0.70;0;46;5353722#3;0;0;0.70;46;0.32;2.60;119.66;20.17;6.98;2.36;0.00
0.00;3600.00;measure_1;0;0.75;0;46;5353722#4;0;0;0.75;46;0.32;1.61;74.15;20.11;3.88;1.36;0.00
0.00;3600.00;measure_1;0;0.91;0;49;5353722#5;0;0;0.91;49;0.42;4.97;243.34;15.88;51.15;4.51;0.00
0.00;3600.00;measure_1;0;0.52;1;35;5353722#6;0;0;0.52;36;0.25;9.98;358.97;19.61;26.79;9.69;0.00
0.00;3600.00;measure_1;17;0.55;0;19;5353723#0;0;0;0.55;2;0.24;7.37;139.50;10.25;73.18;7.06;0.00
0.00;3600.00;measure_1;0;0.03;0;2;5353723#1;0;0;0.03;2;0.01;8.00;16.00;21.23;0.68;7.77;0.00
0.00;3600.00;measure_1;0;0.08;0;2;5353723#2;0;0;0.08;2;0.04;18.46;36.91;7.65;23.24;17.36;18.00
0.00;3600.00;measure_1;0;2.06;50;40;5354262;0;0;2.06;86;1.01;20.02;1750.67;12.04;164.29;19.61;0.00
0.00;3600.00;measure_1;0;1.11;0;74;5364292#0;0;0;1.11;74;0.55;192.49;14244.52;18.56;2236.87;192.18;0.00
0.00;3600.00;measure_1;0;1.64;0;72;5364292#5;0;0;1.64;72;0.56;0.90;65.06;17.76;12.71;0.63;0.00
0.00;3600.00;measure_1;0;3.79;0;143;5364660#0;4;4;1.90;143;0.79;2.37;338.41;12.59;20.64;1.97;0.00
0.00;3600.00;measure_1;0;3.20;0;142;5364660#1;28;28;1.60;142;0.79;22.24;3158.20;12.54;207.16;21.83;0.00
0.00;3600.00;measure_1;0;4.72;0;175;5364660#3;5;5;2.36;175;1.06;4.39;768.84;11.44;109.66;3.86;9.00
0.00;3600.00;measure_1;0;;0;0;538656214#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.06;0;2;538656214#2;0;0;0.06;2;0.02;1.45;2.90;12.39;0.21;1.06;0.00
0.00;3600.00;measure_1;0;1.28;0;24;54034459;0;0;1.28;24;0.50;2.89;69.46;6.95;34.02;2.20;0.00
0.00;3600.00;measure_1;0;255.44;0;174;54034460#0;1;1;85.15;174;1.66;1.07;183.92;4.85;116.32;0.03;73.00
0.00;3600.00;measure_1;1;135.10;0;173;54034460#1;0;0;45.03;172;0.86;0.57;97.27;9.13;28.40;0.03;0.00
0.00;3600.00;measure_1;0;0.04;0;1;548868837#0;0;0;0.04;1;0.02;5.25;5.25;8.61;1.91;4.85;0.00
0.00;3600.00;measure_1;0;0.03;0;1;54947113#0;0;0;0.03;1;0.01;6.99;6.99;10.24;1.02;6.54;0.00
0.00;3600.00;measure_1;1;0.03;0;1;54947113#1;0;0;0.03;0;0.01;2.71;2.56;10.83;0.25;2.24;0.00
0.00;3600.00;measure_1;1;0.02;0;1;54947114;0;0;0.02;0;0.01;6.49;6.38;11.71;0.73;6.08;0.00
0.00;3600.00;measure_1;0;;0;0;54948395;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54948397#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54948397#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54948398;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.06;0;1;54948399;0;0;0.06;1;0.02;5.38;5.38;5.71;2.14;3.50;0.00
0.00;3600.00;measure_1;0;;0;0;54948400#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54948402;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.07;0;2;54951415#0;0;0;0.07;2;0.03;11.69;23.37;8.41;2.41;11.09;0.00
0.00;3600.00;measure_1;0;;0;0;54951415#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.06;0;2;54951419#0;0;0;0.06;2;0.03;4.96;9.92;9.73;2.35;4.54;0.00
0.00;3600.00;measure_1;0;;0;0;54951419#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.70;0;14;54951422#0;0;0;0.70;14;0.32;8.87;124.15;6.14;38.89;8.09;0.00
0.00;3600.00;measure_1;0;0.63;0;14;54951422#1;0;0;0.63;14;0.30;15.49;216.89;6.47;62.64;14.77;0.00
0.00;3600.00;measure_1;0;0.12;1;0;54951422#2;0;0;0.12;1;0.04;3.36;1.84;2.72;1.09;;0.00
0.00;3600.00;measure_1;0;;0;0;54951430#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54951436;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;0.02;1;0;54951450;0;0;0.02;1;0.01;18.96;18.50;11.27;4.76;17.60;0.00
0.00;3600.00;measure_1;1;0.06;0;2;54951459#0;0;0;0.06;1;0.02;1.99;3.98;11.79;0.30;1.57;0.00
0.00;3600.00;measure_1;0;0.10;0;1;54951459#1;0;0;0.10;1;0.03;3.82;3.82;4.21;1.13;2.03;0.00
0.00;3600.00;measure_1;0;;0;0;54951466;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54951487;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;32;1.42;0;33;54951493;0;0;1.42;0;0.58;3.40;104.28;7.45;14.88;2.77;0.00
0.00;3600.00;measure_1;0;1.88;0;35;54951494#0;0;0;1.88;34;0.81;6.60;227.74;5.87;64.64;5.67;0.00
0.00;3600.00;measure_1;0;;0;0;54951494#1;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54951494#2;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54951494#4;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54962127;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;2.84;0;84;54962128#0;0;0;2.84;84;1.36;20.68;1737.45;8.47;655.65;19.73;11.00
0.00;3600.00;measure_1;0;8.73;0;84;54962128#1;0;0;8.73;84;3.34;5.79;486.02;3.54;282.73;4.09;0.00
0.00;3600.00;measure_1;0;0.03;0;1;54962130;0;0;0.03;1;0.01;10.99;10.99;10.16;2.64;10.21;0.00
0.00;3600.00;measure_1;0;0.03;0;1;54962132;0;0;0.03;1;0.02;10.85;10.85;8.73;2.50;9.74;0.00
0.00;3600.00;measure_1;0;;0;0;54962138#0;0;0;;0;;;0.00;;;;
0.00;3600.00;measure_1;0;;0;0;54962138#1;0;0;;0;;;0.00;;;;
